Wind Ts,Max Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Altitude Delta (m/s)
2023-11-03 10:35:02+00:00,510,15.5,10.0,21.5,225.0,0.13750874465604354
2023-11-03 10:40:02+00:00,523,15.0,10.5,20.0,225.0,0.07793623902664407
2023-11-03 10:45:05+00:00,501,17.0,11.0,24.5,225.0,-0.11407888503398282
2023-11-03 10:50:05+00:00,475,12.5,7.25,21.0,225.0,0.15571772323634742
2023-11-03 11:05:11+00:00,472,15.5,9.0,21.5,225.0,-0.09211514717583016
2023-11-03 11:10:11+00:00,481,15.0,10.0,19.0,225.0,0.03416862845805131
2023-11-03 11:15:14+00:00,497,14.0,9.75,20.5,225.0,-0.009374909460759726
2023-11-03 11:20:14+00:00,499,14.5,9.5,20.5,225.0,0.07586603466899497
2023-11-03 11:25:20+00:00,504,15.5,9.75,22.0,225.0,-0.0005853800786143482
2023-11-03 11:30:20+00:00,509,15.5,10.5,22.5,225.0,-0.05245209126311853
2023-11-03 11:35:23+00:00,508,14.5,9.5,22.0,225.0,-0.07878988818553588
2023-11-03 11:40:23+00:00,485,14.5,8.0,19.5,225.0,-0.05167893070545357
2023-11-03 12:05:33+00:00,518,14.0,6.75,22.0,247.5,0.4139158021092343
2023-11-03 12:10:33+00:00,567,16.5,9.25,24.5,225.0,0.26978416316472686
2023-11-03 12:15:35+00:00,581,20.0,9.5,29.0,225.0,-0.08860487117995201
2023-11-03 12:20:35+00:00,558,15.5,9.75,23.0,225.0,-0.20711522429442564
2023-11-03 12:25:39+00:00,525,17.5,12.5,24.5,225.0,0.07423357239686476
2023-11-03 12:30:39+00:00,500,16.0,10.5,22.0,225.0,-0.17394431295793458
2023-11-03 12:45:44+00:00,512,21.5,15.0,29.0,225.0,0.3438096741103132
2023-11-03 12:50:44+00:00,546,17.5,12.0,24.0,225.0,0.009449192482558192
2023-11-03 12:55:48+00:00,522,19.5,9.25,24.5,225.0,-0.05248759898321574
2023-11-03 13:00:48+00:00,514,18.0,13.5,25.0,225.0,-0.03726650678752943
2023-11-03 13:05:51+00:00,505,13.0,8.25,18.0,225.0,-0.0682183903413773
2023-11-03 13:10:51+00:00,471,14.5,8.25,19.5,225.0,0.07708048856296376
2023-11-03 13:15:54+00:00,486,14.5,9.0,25.0,225.0,0.5093475073313786
2023-11-03 13:20:54+00:00,527,18.0,11.5,24.5,225.0,0.00853094541374227
2023-11-03 13:25:57+00:00,527,17.5,10.5,23.5,225.0,0.03538921580437728
2023-11-03 13:30:57+00:00,548,15.5,11.0,20.0,247.5,-0.1971415370398891
2023-11-03 13:36:00+00:00,504,11.5,8.25,16.0,225.0,-0.17655527663956624
2023-11-03 13:41:00+00:00,473,14.0,9.25,21.0,225.0,0.13804334711968969
2023-11-08 10:37:54+00:00,504,13.5,10.0,22.5,202.5,-0.45108461648863085
2023-11-08 10:42:57+00:00,468,13.5,9.5,18.0,225.0,-0.43478260869565205
2023-11-08 10:47:57+00:00,472,14.0,9.75,18.5,202.5,-0.0006613715869837846
2023-11-08 10:53:00+00:00,480,13.5,7.25,19.5,202.5,0.05745798890728098
2023-11-08 10:58:00+00:00,509,14.5,9.75,20.5,225.0,-0.2642200039146604
2023-11-08 11:03:03+00:00,492,13.5,9.0,20.5,202.5,-0.024010461165206835
2023-11-08 11:08:03+00:00,442,12.5,7.0,20.0,202.5,-0.05000000000000002
2023-11-08 11:13:07+00:00,469,11.0,6.5,16.5,202.5,-0.17203972498090145
2023-11-08 11:18:07+00:00,475,13.0,8.25,18.0,202.5,0.07540561328147675
2023-11-08 11:23:49+00:00,483,14.5,10.5,21.5,202.5,-0.009193417310036572
2023-11-08 11:28:49+00:00,472,14.0,10.5,20.5,202.5,0.10105398091439967
2023-11-08 11:33:51+00:00,483,12.5,6.25,20.0,180.0,-0.03462627673311499
2023-11-08 11:38:51+00:00,489,12.0,7.5,18.5,202.5,0.07112218307318877
2023-11-08 11:43:55+00:00,480,11.5,8.0,17.0,225.0,-0.028676969096818456
2023-11-08 11:53:58+00:00,477,11.0,5.5,17.5,202.5,-0.11247883387886344
2023-11-08 11:58:58+00:00,483,12.5,8.0,17.5,202.5,0.0447577905642288
2023-11-08 12:04:01+00:00,481,14.5,8.0,21.5,247.5,-0.14385363064608347
2023-11-08 12:14:04+00:00,478,14.0,8.0,22.5,202.5,-0.0019335621275960396
2023-11-08 12:19:04+00:00,491,14.5,9.75,20.0,202.5,-0.09028360212096544
2023-11-08 12:24:07+00:00,476,13.0,8.25,19.5,202.5,0.1417988462201081
2023-11-08 12:29:07+00:00,485,12.5,8.0,21.5,202.5,0.0214102967196237
2023-11-08 12:34:10+00:00,529,14.5,9.5,20.0,202.5,0.23080170550332627
2023-11-08 12:39:10+00:00,509,17.0,12.0,24.0,202.5,-0.15256744964522787
2023-11-08 12:44:13+00:00,479,15.0,10.0,21.0,202.5,-0.06383955708394573
2023-11-08 12:49:13+00:00,478,12.5,8.5,17.5,202.5,0.12994785593276278
2023-11-08 12:54:16+00:00,472,12.5,7.25,16.0,202.5,-0.024561403508771923
2023-11-08 13:04:20+00:00,476,12.0,6.75,17.0,225.0,-0.04810255652430915
2023-11-08 13:09:20+00:00,447,12.5,8.0,17.5,202.5,-0.7249331550802137
2023-11-08 13:24:25+00:00,471,13.5,6.0,18.5,202.5,-0.5225909951609512
2023-11-08 13:44:31+00:00,473,12.5,6.25,18.0,202.5,0.08130795796601521
2023-11-08 13:54:34+00:00,468,12.5,8.0,18.0,180.0,-0.6203728855414249
2023-11-08 14:09:37+00:00,472,10.5,7.0,14.5,202.5,-1.6999999999999997
2023-11-08 14:14:40+00:00,473,11.5,6.25,15.5,202.5,0.05298475826490747
2023-11-08 14:39:47+00:00,471,12.0,8.25,15.0,225.0,-0.44119769119769137
2023-11-11 09:56:01+00:00,483,19.5,13.0,27.0,225.0,0.0051679586563307504
2023-11-11 10:01:01+00:00,480,14.5,10.5,17.5,225.0,-0.027200220627109903
2023-11-11 10:06:05+00:00,470,17.0,10.0,25.0,225.0,-0.020148119696810355
2023-11-11 10:11:05+00:00,468,14.5,8.75,21.5,225.0,0.003863086066475916
2023-11-11 10:16:08+00:00,507,13.0,7.25,18.5,225.0,0.11450324808503376
2023-11-11 10:21:08+00:00,603,17.0,10.5,25.5,225.0,0.26460187894655773
2023-11-11 10:26:11+00:00,550,14.5,8.5,23.5,225.0,-0.14746508643515774
2023-11-11 10:31:11+00:00,584,15.5,8.75,28.0,225.0,0.41385492068381335
2023-11-11 10:36:13+00:00,652,19.5,12.5,26.0,225.0,-0.7599612769796042
2023-11-11 10:41:13+00:00,436,22.0,10.5,29.0,225.0,0.35000000000000003
2023-11-11 11:01:20+00:00,491,23.0,15.5,28.5,225.0,-0.12189610036621645
2023-11-11 11:06:23+00:00,582,21.0,15.0,28.0,225.0,0.4280165932150628
2023-11-11 11:11:23+00:00,602,22.0,16.0,29.0,225.0,0.35012078942157476
2023-11-11 11:16:25+00:00,588,24.5,17.0,30.5,225.0,-0.311968933576819
2023-11-11 11:21:25+00:00,531,20.0,13.5,27.5,225.0,0.02452489062571862
2023-11-11 11:26:32+00:00,542,20.5,13.5,29.0,225.0,-0.040929502786344205
2023-11-11 11:31:32+00:00,520,21.0,13.5,31.0,225.0,-0.06203111881788672
2023-11-11 11:36:35+00:00,496,22.5,15.5,30.0,225.0,0.0008239799917080227
2023-11-11 13:07:02+00:00,473,14.5,7.5,21.0,225.0,-0.026969451454315046
2023-11-11 13:12:02+00:00,465,9.25,4.0,16.0,225.0,0.020856458026577204
2023-11-11 13:17:06+00:00,473,11.0,5.75,15.5,225.0,0.094095166995503
2023-11-11 13:22:06+00:00,548,14.5,8.75,22.5,225.0,0.2252773688533297
2023-11-11 13:27:08+00:00,569,18.5,12.5,28.0,225.0,-0.004216628897053971
2023-11-11 13:32:08+00:00,571,18.5,13.0,25.0,225.0,-0.2741288420496798
2023-11-11 13:37:11+00:00,509,18.5,11.0,27.5,225.0,0.0846922497551978
2023-11-11 13:42:11+00:00,515,18.0,10.5,25.0,225.0,-0.04282154800153619
2023-11-11 13:47:15+00:00,490,16.0,12.0,22.0,225.0,-0.11597463631771322
2023-11-11 13:57:17+00:00,465,12.5,8.0,17.0,225.0,-0.04428920238741184
2023-11-11 14:02:17+00:00,466,11.5,6.75,19.5,225.0,-0.6914344685242517
2023-11-11 14:07:20+00:00,470,13.0,9.25,18.0,225.0,0.15610613401401843
2023-11-11 14:12:20+00:00,466,14.0,9.75,20.5,225.0,-0.06626840789108089
2023-11-11 14:17:24+00:00,454,12.0,8.0,18.0,225.0,0.04677760904954547
2023-11-11 14:22:24+00:00,505,12.5,8.75,17.5,225.0,0.17206354095619456
2023-11-11 14:27:26+00:00,500,13.0,8.5,18.5,225.0,-0.11312366131779465
2023-11-11 14:32:26+00:00,474,13.5,7.0,20.5,225.0,-0.045026970934961254
2023-11-11 14:37:30+00:00,497,14.5,10.0,22.0,225.0,0.13567163029030457
2023-11-11 14:42:30+00:00,503,15.5,10.0,21.0,225.0,-0.076229785923302
2023-11-11 14:47:32+00:00,516,14.5,10.0,21.0,225.0,-0.05080944313656465
2023-11-11 14:52:32+00:00,518,12.0,8.0,18.0,225.0,-0.16351675430683593
2023-11-11 14:57:36+00:00,471,13.0,8.0,19.5,225.0,0.025804857457607928
2023-11-11 15:27:45+00:00,488,12.5,8.0,18.5,225.0,0.005504019789734074
2023-11-11 15:32:45+00:00,476,11.0,8.0,18.0,225.0,-0.23985962905106603
2023-11-11 15:37:48+00:00,412,10.5,7.25,14.5,225.0,0.03001143000045092
2023-11-11 15:42:48+00:00,410,8.75,5.25,12.5,225.0,0.0057948119953356355
2023-11-11 15:47:51+00:00,432,8.25,4.75,13.0,225.0,-0.016137278509703954
2023-11-11 15:52:51+00:00,411,9.75,5.0,16.5,225.0,-0.022938109172515462
2023-11-11 15:57:54+00:00,407,9.0,6.25,13.0,225.0,0.0068017978669662965
2023-11-11 16:02:54+00:00,436,8.5,6.0,11.5,225.0,0.011126707883214888
2023-11-11 16:07:57+00:00,443,9.25,5.0,13.5,225.0,0.023235119269996128
2023-11-11 16:12:57+00:00,432,10.0,7.0,15.0,225.0,0.19878942853906043
2023-11-25 13:19:13+00:00,507,19.5,14.0,29.0,225.0,0.3897353648757018
2023-11-25 13:24:15+00:00,536,19.0,13.0,27.0,225.0,0.013593100261820422
2023-11-25 13:29:15+00:00,525,16.5,10.0,23.5,225.0,-0.03915469406613717
2023-11-25 13:34:18+00:00,557,19.0,12.5,28.0,225.0,-0.08659221953965875
2023-11-25 13:39:18+00:00,542,18.5,12.0,25.5,225.0,0.05112937422980377
2023-11-25 13:44:22+00:00,547,19.0,13.0,29.0,225.0,-0.23821432329147413
2023-11-25 13:49:22+00:00,473,19.0,14.0,26.0,225.0,-0.1185822432340074
2023-11-26 11:46:52+00:00,485,14.5,9.5,20.0,225.0,0.3475750773249798
2023-11-26 11:51:54+00:00,522,15.0,10.0,22.0,225.0,0.040075245869177774
2023-11-26 11:56:54+00:00,528,14.5,9.0,21.0,225.0,0.08277198096699066
2023-11-26 12:01:58+00:00,535,15.0,10.0,20.5,225.0,0.14329260256557433
2023-11-26 12:06:58+00:00,539,14.5,9.5,22.5,225.0,-0.27452113264834654
2023-11-26 12:12:01+00:00,568,16.5,11.5,22.5,225.0,0.2708023503060961
2023-11-26 12:17:01+00:00,557,18.5,12.0,26.5,225.0,-0.33114078898154053
2023-11-26 12:22:04+00:00,501,16.0,11.5,22.0,202.5,0.07261829789060177
2023-11-26 12:27:04+00:00,494,16.5,12.0,21.5,225.0,-0.04170161272579262
2023-11-26 12:32:07+00:00,485,15.0,10.0,20.5,225.0,-0.026008424696730304
2023-11-26 12:37:07+00:00,485,16.5,10.5,24.0,225.0,0.07017758726270666
