Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts
2023-11-03 12:50:33,533,17.5,12.0,24.0,225.0,2023-11-03 12:50:44
2023-11-03 12:10:52,531,16.5,9.25,24.5,225.0,2023-11-03 12:10:33
2023-11-11 10:33:42,584,15.5,8.75,28.0,225.0,2023-11-11 10:31:11
2023-11-11 10:34:39,644,19.5,12.5,26.0,225.0,2023-11-11 10:36:13
2023-11-11 11:07:06,542,21.0,15.0,28.0,225.0,2023-11-11 11:06:23
2023-11-11 11:12:42,551,22.0,16.0,29.0,225.0,2023-11-11 11:11:23
2023-11-11 11:00:05,488,23.0,15.5,28.5,225.0,2023-11-11 11:01:20
2023-11-11 11:07:19,552,21.0,15.0,28.0,225.0,2023-11-11 11:06:23
2023-11-11 11:12:43,554,22.0,16.0,29.0,225.0,2023-11-11 11:11:23
2023-11-11 10:20:22,537,17.0,10.5,25.5,225.0,2023-11-11 10:21:08
2023-11-11 10:22:02,598,17.0,10.5,25.5,225.0,2023-11-11 10:21:08
2023-11-11 10:33:08,544,15.5,8.75,28.0,225.0,2023-11-11 10:31:11
2023-11-11 10:33:58,604,19.5,12.5,26.0,225.0,2023-11-11 10:36:13
2023-11-25 13:41:57,544,19.0,13.0,29.0,225.0,2023-11-25 13:44:22
2023-12-26 12:18:03,500,17.0,10.0,22.5,225.0,2023-12-26 12:17:02
2024-02-04 11:10:54,529,19.5,14.5,25.5,225.0,2024-02-04 11:13:06
2024-02-04 11:22:16,570,16.0,10.5,21.5,225.0,2024-02-04 11:23:10
2024-02-04 11:23:23,631,16.0,10.5,21.5,225.0,2024-02-04 11:23:10
2024-02-04 11:24:57,691,16.0,10.5,21.5,225.0,2024-02-04 11:23:10
2024-02-04 11:08:44,487,16.0,12.5,21.5,225.0,2024-02-04 11:08:06
2024-02-04 11:10:24,548,16.0,12.5,21.5,225.0,2024-02-04 11:08:06
2024-02-04 11:22:20,562,16.0,10.5,21.5,225.0,2024-02-04 11:23:10
2024-05-03 09:18:41,526,19.0,11.0,26.5,225.0,2024-05-03 09:16:59
2024-05-03 09:27:36,525,21.5,14.0,28.5,225.0,2024-05-03 09:27:03
2024-05-03 09:28:18,585,21.5,14.0,28.5,225.0,2024-05-03 09:27:03
2024-05-03 09:32:56,532,20.0,9.0,29.0,225.0,2024-05-03 09:32:05
2024-05-03 09:33:30,592,20.0,9.0,29.0,225.0,2024-05-03 09:32:05
