Time (UTC),Altitude,Wind Speed Avg (km/h),Wind Speed Min (km/h),Wind Speed Max (km/h),Wind Heading (degrees),Wind Ts,Score
2023-11-03 10:35:25,495,15.5,10.0,21.5,225.0,2023-11-03 10:35:02,0
2023-11-03 10:37:25,485,15.5,10.0,21.5,225.0,2023-11-03 10:35:02,0
2023-11-03 10:39:25,506,15.0,10.5,20.0,225.0,2023-11-03 10:40:02,0
2023-11-03 10:41:25,511,15.0,10.5,20.0,225.0,2023-11-03 10:40:02,0
2023-11-03 10:43:25,493,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:45:25,491,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:18,460,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:22,460,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:24,460,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:28,460,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:31,461,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:33,461,17.0,11.0,24.5,225.0,2023-11-03 10:45:05,0
2023-11-03 10:47:43,461,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 10:48:58,473,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 10:49:13,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 10:49:21,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 10:49:26,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 10:49:29,474,12.5,7.25,21.0,225.0,2023-11-03 10:50:05,0
2023-11-03 11:05:49,469,15.5,9.0,21.5,225.0,2023-11-03 11:05:11,0
2023-11-03 11:07:26,461,15.5,9.0,21.5,225.0,2023-11-03 11:05:11,0
2023-11-03 11:07:37,461,15.5,9.0,21.5,225.0,2023-11-03 11:05:11,0
2023-11-03 11:07:41,461,15.5,9.0,21.5,225.0,2023-11-03 11:05:11,0
2023-11-03 11:07:43,461,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:07:45,461,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:08:59,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:05,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:09,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:19,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:22,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:27,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:30,473,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:45,471,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:09:51,472,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:09,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:12,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:18,469,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:23,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:30,471,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:45,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:48,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:10:54,470,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:11:01,469,15.0,10.0,19.0,225.0,2023-11-03 11:10:11,0
2023-11-03 11:13:02,481,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,0
2023-11-03 11:15:02,489,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,0
2023-11-03 11:17:02,485,14.0,9.75,20.5,225.0,2023-11-03 11:15:14,0
2023-11-03 11:19:02,481,14.5,9.5,20.5,225.0,2023-11-03 11:20:14,0
2023-11-03 11:21:02,489,14.5,9.5,20.5,225.0,2023-11-03 11:20:14,0
2023-11-03 11:23:02,496,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,0
2023-11-03 11:25:02,490,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,0
2023-11-03 11:27:02,497,15.5,9.75,22.0,225.0,2023-11-03 11:25:20,0
2023-11-03 11:29:02,488,15.5,10.5,22.5,225.0,2023-11-03 11:30:20,0
2023-11-03 11:31:02,476,15.5,10.5,22.5,225.0,2023-11-03 11:30:20,0
2023-11-03 11:33:02,489,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,0
2023-11-03 11:35:02,479,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,0
2023-11-03 11:37:02,481,14.5,9.5,22.0,225.0,2023-11-03 11:35:23,0
2023-11-03 11:39:02,475,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:39:23,471,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:39:32,474,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:39:41,476,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:39:46,476,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:39:50,475,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:40:03,473,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:40:09,473,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:40:19,474,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 11:40:23,474,14.5,8.0,19.5,225.0,2023-11-03 11:40:23,0
2023-11-03 13:17:54,473,14.5,9.0,25.0,225.0,2023-11-03 13:15:54,0
2023-11-03 13:19:03,512,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,1
2023-11-03 13:21:04,503,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,0
2023-11-03 13:23:04,511,18.0,11.5,24.5,225.0,2023-11-03 13:20:54,0
2023-11-03 13:25:04,507,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,0
2023-11-03 13:27:04,522,17.5,10.5,23.5,225.0,2023-11-03 13:25:57,0
2023-11-03 13:29:04,531,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,0
2023-11-03 13:31:04,494,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,0
2023-11-03 13:33:04,497,15.5,11.0,20.0,247.5,2023-11-03 13:30:57,0
2023-11-03 13:35:04,499,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:04,459,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:30,447,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:34,447,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:38,446,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:40,446,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:43,447,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:37:45,447,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:38:13,452,11.5,8.25,16.0,225.0,2023-11-03 13:36:00,0
2023-11-03 13:38:53,460,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:38:56,460,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:39:02,460,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:39:11,460,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:39:56,470,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:40:01,471,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:40:23,472,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 13:40:35,473,14.0,9.25,21.0,225.0,2023-11-03 13:41:00,0
2023-11-03 12:48:15,514,17.5,12.0,24.0,225.0,2023-11-03 12:50:44,1
2023-11-03 12:50:16,527,17.5,12.0,24.0,225.0,2023-11-03 12:50:44,0
2023-11-03 12:52:16,529,17.5,12.0,24.0,225.0,2023-11-03 12:50:44,0
2023-11-03 12:54:16,500,19.5,9.25,24.5,225.0,2023-11-03 12:55:48,0
2023-11-03 12:56:16,484,19.5,9.25,24.5,225.0,2023-11-03 12:55:48,0
2023-11-03 12:58:16,507,19.5,9.25,24.5,225.0,2023-11-03 12:55:48,0
2023-11-03 13:00:16,509,18.0,13.5,25.0,225.0,2023-11-03 13:00:48,0
2023-11-03 13:02:16,489,18.0,13.5,25.0,225.0,2023-11-03 13:00:48,0
2023-11-03 13:04:16,493,13.0,8.25,18.0,225.0,2023-11-03 13:05:51,0
2023-11-03 13:06:16,488,13.0,8.25,18.0,225.0,2023-11-03 13:05:51,0
2023-11-03 13:08:16,469,13.0,8.25,18.0,225.0,2023-11-03 13:05:51,0
2023-11-03 13:08:46,463,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:08:51,463,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:08:55,463,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:08:57,463,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:09:01,462,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:09:07,462,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:09:10,462,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
2023-11-03 13:09:13,462,14.5,8.25,19.5,225.0,2023-11-03 13:10:51,0
